#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
AT3G13340_P1	448	0.47016	4.86090087891	1	1	coding
AT3G13340_ID53	221	0.40797	4.79498291016	1	0.9998	coding
AT3G13340_ID57	300	0.4085	5.31243896484	1	0.999998	coding
AT3G13340_ID60	323	0.44789	5.06500244141	1	1	coding
AT3G20290_P2	546	0.48595	6.95965576172	1	1	coding
AT3G20290_c1	470	0.48251	8.16680908203	1	1	coding
AT3G20290_s1	546	0.4766	6.95965576172	1	1	coding
AT3G20290_P3	546	0.49434	6.95965576172	1	1	coding
AT3G25540.1	311	0.40164	7.01068115234	1	0.999993	coding
AT3G25540_P2	243	0.40164	9.12335205078	1	0.998645	coding
AT3G25540_P1	311	0.42214	7.01068115234	1	0.999997	coding
AT3G25540_JS2	201	0.36824	9.05743408203	1	0.967208	coding
AT3G51240.1	359	0.47484	5.28973388672	1	1	coding
AT3G51240.2	275	0.48886	6.33917236328	1	0.999992	coding
AT3G54960_c1	580	0.48136	4.73956298828	1	1	coding
AT3G54960_P1	580	0.46006	4.73956298828	1	1	coding
AT3G56160_JS3	226	0.29751	9.56512451172	1	0.852852	coding
AT3G56160_JS4	213	0.27433	9.44342041016	1	0.678086	coding
AT3G56160_JS6	110	0.35872	7.63055419922	1	0.285405	noncoding
AT3G56160_JS9	189	0.4332	9.41912841797	1	0.990277	coding
AT3G56160_JS12	189	0.39605	9.41912841797	1	0.971214	coding
AT3G56160_JS13	138	0.40815	9.72784423828	1	0.775429	coding
AT3G56160_JS14	268	0.40289	9.31756591797	1	0.999598	coding
AT3G56160_JS15	252	0.43753	10.163269043	1	0.999601	coding
AT3G56160_JS24	189	0.31348	9.41912841797	1	0.745965	coding
AT3G56160_JS28	196	0.33673	9.53216552734	1	0.879439	coding
AT3G56160_JS33	226	0.37873	9.56512451172	1	0.990846	coding
AT3G56160_P2	358	0.44332	10.1063842773	1	0.999999	coding
AT3G56160_P3	410	0.44033	10.0912475586	1	1	coding
AT3G56160_P5	343	0.45669	9.84002685547	1	0.999999	coding
AT3G56160_JC14	184	0.30276	10.1477661133	1	0.575977	coding
AT3G56160_P4	316	0.3096	9.69171142578	1	0.994012	coding
AT4G02450_ID101	239	0.44329	4.43963623047	1	0.999977	coding
AT4G02450_ID75	179	0.46203	4.48773193359	1	0.99854	coding
AT4G02450_ID96	194	0.46001	4.46710205078	1	0.999495	coding
AT4G02450_c1	182	0.46187	4.46710205078	1	0.998834	coding
AT4G02450_P1	242	0.44572	4.43963623047	1	0.999982	coding
AT4G10130_P2	175	0.35117	4.61785888672	1	0.986601	coding
AT4G10130_P1	175	0.37415	4.61785888672	1	0.992287	coding
AT4G11120_P1	396	0.46408	6.22503662109	1	1	coding
AT4G11120_s1	396	0.4758	6.22503662109	1	1	coding
AT4G11120_c1	396	0.46547	6.22503662109	1	1	coding
AT4G13150_P1	348	0.42971	8.90789794922	1	0.999999	coding
AT4G13150_P2	282	0.39213	9.01397705078	1	0.999752	coding
AT4G13150_s1	287	0.42007	8.62066650391	1	0.999953	coding
AT4G13150_s2	306	0.38934	8.99945068359	1	0.999918	coding
AT4G13150_P4	259	0.34524	8.83050537109	1	0.995269	coding
AT4G13150_c3	221	0.34648	8.42022705078	1	0.980644	coding
AT4G13150_ID3	205	0.35318	7.71087646484	1	0.977328	coding
AT4G27040_c1	251	0.42152	8.99945068359	1	0.999591	coding
AT4G27040.2	251	0.39263	8.99945068359	1	0.998833	coding
AT4G27040_ID109	251	0.40269	8.99945068359	1	0.999198	coding
AT4G27040_ID111	251	0.41344	8.99945068359	1	0.999457	coding
AT4G27040_ID112	251	0.41479	8.99945068359	1	0.999482	coding
AT4G27040_ID115	251	0.41848	8.99945068359	1	0.999546	coding
AT4G27040_ID116	251	0.40764	8.99945068359	1	0.999331	coding
AT4G27040_ID118	251	0.40556	8.99945068359	1	0.999278	coding
AT4G27040_ID124	251	0.41848	8.99945068359	1	0.999546	coding
AT4G27040_P1	251	0.39263	8.99945068359	1	0.998833	coding
AT4G27040_P4	251	0.42524	8.99945068359	1	0.999641	coding
AT4G27040_P6	251	0.41479	8.99945068359	1	0.999482	coding
AT4G30200_P2	715	0.46674	5.92620849609	1	1	coding
AT4G30200_P3	703	0.46446	6.13067626953	1	1	coding
AT4G30200_JS2	418	0.46775	5.16571044922	1	1	coding
AT4G30200_JS3	406	0.46775	5.29095458984	1	1	coding
AT4G30260_s1	281	0.42539	7.74176025391	1	0.999969	coding
AT4G30260_P2	356	0.42184	9.04864501953	1	0.999999	coding
AT4G35020_P3	199	0.48781	9.37493896484	1	0.998755	coding
AT4G35020_P1	199	0.47253	9.37493896484	1	0.998163	coding
AT4G35020_P5	147	0.35286	8.59796142578	1	0.645149	coding
AT4G38510.1	488	0.4725	5.03411865234	1	1	coding
AT4G38510_ID3	488	0.45717	5.03411865234	1	1	coding
AT4G38510.3	488	0.45409	5.03411865234	1	1	coding
AT4G38510.2	488	0.46537	5.03411865234	1	1	coding
AT4G38510.5	495	0.43922	5.14068603516	1	1	coding
AT5G02780_P1	238	0.45925	4.96624755859	1	0.999962	coding
AT5G02780_P3	238	0.46306	4.96624755859	1	0.999962	coding
AT5G02780.2	236	0.46058	4.96624755859	1	0.999957	coding
AT5G38460.2	534	0.35408	8.98590087891	1	1	coding
AT5G38460_P1	534	0.36794	8.98590087891	1	1	coding
AT5G65685.1	461	0.46745	5.87921142578	1	1	coding
AT5G65685_ID19	383	0.45172	5.16021728516	1	1	coding
AT5G65685_ID2	383	0.47767	5.16021728516	1	1	coding
AT5G65685_ID22	327	0.47406	5.19293212891	1	1	coding
AT5G65685_ID26	327	0.44292	5.64117431641	1	1	coding
AT5G65685_ID3	383	0.45172	5.16021728516	1	1	coding
AT5G65685_ID9	249	0.4307	4.76934814453	1	0.999981	coding
AT5G65685_c3	362	0.45172	5.20709228516	1	1	coding
